Hoy,SD_Angle,SD_Position
752,25,0.02
753,72,-0.04
754,70,-0.06
755,90,0.09
756,45,-0.14
757,78,0.1
758,11,0.13
759,80,-0.13
760,65,0.02
761,35,0.03
776,18,-0.09
777,11,-0.06
778,63,-0.03
779,33,0.09
780,90,-0.04
781,30,0.1
782,81,0.13
783,51,0.01
784,21,-0.05
785,27,-0.04
800,60,0.03
801,49,0.12
802,3,-0.03
803,63,0.14
804,0,0.01
805,90,0.04
806,56,0.14
807,50,-0.02
808,78,-0.02
809,30,0.04
824,82,-0.06
825,2,0.03
826,20,-0.05
827,4,0.12
828,73,0.02
829,9,0.07
830,27,0.02
831,1,-0.04
832,51,-0.04
833,53,0.01
848,12,-0.07
849,80,-0.1
850,2,0.03
851,89,0.06
852,13,0.12
853,33,-0.01
854,34,-0.06
855,73,0.12
856,52,0.01
857,21,0.07
872,0,-0.05
873,90,-0.05
874,58,-0.07
875,53,0.1
876,31,0.01
877,49,0.13
878,13,0.12
879,47,-0.02
880,36,-0.01
881,56,0.05
896,6,-0.06
897,41,0.04
898,63,0.12
899,86,0.13
900,71,0.07
901,22,0.08
902,49,0.12
903,85,-0.11
904,62,0.03
905,32,-0.03
920,65,-0.03
921,36,-0.1
922,1,0.12
923,90,0.14
924,69,0.08
925,87,0.02
926,46,0.12
927,61,0.01
928,38,-0.05
929,0,-0.06
944,46,0.05
945,10,-0.08
946,30,-0.07
947,77,0.14
948,40,0.1
949,21,0.14
950,37,-0.02
951,9,-0.07
952,18,-0.08
953,49,0.05
968,48,-0.09
969,35,-0.07
970,2,-0.07
971,72,0.1
972,16,0.11
973,28,-0.03
974,20,-0.03
975,48,0.03
976,2,0.04
977,39,0.05
992,66,-0.08
993,59,0.03
994,10,0.04
995,7,0.1
996,23,0.08
997,45,0.14
998,9,0.14
999,66,-0.06
1000,24,-0.05
1001,81,-0.01
1016,27,-0.06
1017,14,-0.05
1018,68,-0.05
1019,47,-0.05
1020,39,0
1021,24,0.07
1022,49,0.14
1023,40,-0.01
1024,63,0.02
1025,68,0.07
1040,46,-0.08
1041,80,-0.03
1042,83,-0.07
1043,32,-0.05
1044,58,0.1
1045,74,0.01
1046,81,0.1
1047,56,-0.06
1048,75,-0.01
1049,37,0
1064,34,0.04
1065,6,0.13
1066,81,0.13
1067,77,0.14
1068,90,-0.01
1069,16,-0.06
1070,40,-0.14
1071,50,0
1072,71,-0.08
1073,32,-0.02
1088,36,0.02
1089,10,-0.09
1090,71,0.08
1091,83,0.06
1092,75,0.03
1093,29,0.01
1094,23,-0.06
1095,45,-0.04
1096,0,-0.04
1097,7,0.06
1112,61,0.04
1113,20,-0.05
1114,84,0.12
1115,77,0.1
1116,34,0.14
1117,27,0.11
1118,34,-0.01
1119,42,0.12
1120,52,-0.06
1121,43,0.06
1136,20,-0.07
1137,52,-0.01
1138,41,0.11
1139,2,0.09
1140,27,0.02
1141,89,0.14
1142,19,-0.14
1143,48,0.03
1144,65,-0.02
1145,38,0.07
1160,68,0.02
1161,20,0.04
1162,78,0.09
1163,32,-0.01
1164,51,0.08
1165,73,0.07
1166,1,-0.02
1167,37,-0.05
1168,14,-0.09
1169,11,-0.07
1184,11,-0.09
1185,54,0.01
1186,45,0.14
1187,83,0.14
1188,84,0.03
1189,51,-0.05
1190,39,0.07
1191,11,-0.08
1192,67,-0.02
1193,4,-0.04
1208,21,-0.07
1209,50,-0.05
1210,5,0.12
1211,74,-0.12
1212,22,0.12
1213,33,-0.05
1214,25,0.09
1215,63,0.12
1216,66,0.01
1217,56,-0.02
1232,50,0.04
1233,81,-0.09
1234,57,0.08
1235,82,-0.12
1236,64,0.07
1237,69,0.14
1238,8,-0.02
1239,57,-0.07
1240,0,-0.09
1241,1,0.05
1256,16,0.06
1257,12,-0.1
1258,83,-0.05
1259,8,-0.04
1260,49,0.02
1261,50,-0.13
1262,46,0.01
